0;1661.298;0.05;213.444;276.219
1;1603.18;0.049;207.574;270.632
2;1595.472;0.048;207.846;268.723
3;1607.721;0.052;207.581;271.233
4;1601.408;0.049;207.082;268.416
5;1589.199;0.054;208.629;268.39
6;1585.119;0.053;207.142;268.532
7;1592.833;0.049;206.973;269.367
8;1604.871;0.052;207.114;269.706
9;1599.991;0.058;207.528;268.727
10;1586.086;0.053;207.118;269.084
11;1580.341;0.06;208.899;273.517
12;1583.176;0.055;207.911;271.034
13;1577.12;0.049;206.563;271.102
14;1582.077;0.049;206.334;274.391
15;1578.487;0.051;206.432;269.244
16;1578.815;0.051;206.281;268.419
17;1575.719;0.049;208.136;268.792
18;1576.088;0.049;206.442;268.588
19;1581.398;0.048;206.126;269.318
20;1580.358;0.052;207.846;269.234
21;1581.134;0.049;206.884;271.404
22;1578.527;0.049;206.892;272.262
23;1597.553;0.049;208.059;272.031
24;1593.893;0.053;207.398;271.052
25;1586.973;0.052;207.859;270.409
26;1585.623;0.048;223.694;270.284
27;1578.467;0.048;206.672;268.043
28;1578.099;0.049;206.618;273.109
29;1580.77;0.083;207.026;272.886
30;1579.093;0.049;206.201;268.508
31;1584.566;0.049;206.576;268.539
32;1574.419;0.049;206.474;271.413
33;1584.151;0.048;211.218;269.0
34;1580.643;0.052;207.027;269.329
35;1576.065;0.048;207.183;269.338
36;1580.588;0.052;209.8;269.744
37;1577.678;0.054;207.443;268.202
38;1581.025;0.048;207.308;269.537
39;1576.408;0.049;207.027;267.724
40;1575.997;0.052;208.993;268.101
41;1582.376;0.053;206.246;272.255
42;1586.703;0.049;207.787;269.307
43;1586.486;0.059;206.775;268.768
44;1577.857;0.052;206.498;269.861
45;1577.524;0.052;206.775;272.672
46;1589.657;0.054;208.802;268.911
47;1593.091;0.052;214.82;269.199
48;1595.356;0.054;206.995;273.998
49;1590.289;0.048;207.079;270.376
50;1592.864;0.049;210.592;269.916
51;1597.601;0.049;214.27;271.225
52;1590.76;0.053;206.139;269.879
53;1589.841;0.049;207.36;269.703
54;1587.979;0.061;208.034;270.023
55;1595.847;0.048;207.942;269.705
56;1601.561;0.052;212.516;270.658
57;1585.27;0.05;206.789;268.697
58;1586.211;0.048;206.367;270.375
59;1589.501;0.049;207.151;269.228
60;1588.037;0.053;207.57;278.63
61;1588.29;0.052;207.267;269.735
62;1583.38;0.052;206.294;271.806
63;1581.222;0.052;207.01;272.055
64;1580.3;0.048;206.531;275.315
65;1581.519;0.06;206.728;270.263
66;1583.324;0.049;206.08;268.363
67;1582.561;0.052;207.894;268.996
68;1575.345;0.051;206.679;267.846
69;1628.852;0.051;209.613;268.141
70;1595.86;0.053;210.03;270.651
71;1592.405;0.051;207.008;273.542
72;1587.715;0.048;207.476;270.712
73;1601.429;0.049;209.427;272.115
74;1640.084;0.052;206.791;271.636
75;1591.087;0.058;258.426;341.944
76;2037.495;0.052;229.152;289.769
77;2014.068;0.059;218.124;291.262
78;1588.394;0.052;211.059;268.422
79;1593.892;0.06;206.825;269.468
80;1598.143;0.048;206.724;271.515
81;1643.965;0.096;208.935;272.581
82;1647.13;0.049;206.457;269.169
83;1589.788;0.073;208.454;268.62
84;1586.122;0.048;208.234;268.548
85;1589.015;0.051;206.782;269.233
86;1591.79;0.048;206.68;268.499
87;1586.804;0.049;206.97;270.883
88;1589.246;0.053;206.807;271.583
89;1585.591;0.051;213.71;273.976
90;1580.937;0.048;212.284;268.303
91;1586.801;0.049;206.646;269.273
92;1577.98;0.073;206.865;268.916
93;1574.871;0.051;206.908;268.708
94;1575.53;0.051;206.781;270.343
95;1574.035;0.048;207.075;274.602
96;1573.107;0.049;206.869;268.949
97;1580.755;0.048;210.662;271.412
98;1574.577;0.049;206.535;272.667
99;1572.033;0.06;208.688;269.51
